phone number (html),first date,last date,name (vcf),phone number (vcf),match length,path,file size,media size
+17855550115,2021-04-01T16:27:55.000Z,2022-03-09T08:34:25.000Z,,,,"out/+17855550115/2022-03-09T08_34_25 +17855550115.html",5581,0
+18085550103,2021-04-01T16:28:19.000Z,2021-04-01T16:28:19.000Z,,,,"out/+18085550103/2021-04-01T17_28_19 +18085550103.html",3391,0
+12075550182,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+12085550145,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+12255550160,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+13025550173,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+13035550182,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+13075550162,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+14045550167,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,"Angie Mueller IV",+14045550167,12,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+14105550126,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,"Cheyanne Auer",+14105550126,12,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+15025550108,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+15125550120,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+15155550117,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,"Beatrice Ruecker",+15155550117,12,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+15185550143,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,"Lloyd Gusikowski",+15185550143,12,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+16035550142,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+16145550177,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+16175550151,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+17015550194,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,"Mariela Roberts",+17015550194,12,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+17755550174,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+18035550193,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,"John Doe",+18035550193,12,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+18435550199,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,"Royal Jones",+18435550199,12,"out/Group Conversation 1/2017-02-04T07_18_45 Group Conversation 1.html",7144,540838
+17175550148,2017-03-04T07:18:27.000Z,2017-03-24T07:18:27.000Z,"Garnett Tremblay",75550148,8,"out/Group Conversation 2/2017-03-24T07_18_27 Group Conversation 2.html",6141,1081676
+18605550137,2017-03-04T07:18:27.000Z,2017-03-24T07:18:27.000Z,,,,"out/Group Conversation 2/2017-03-24T07_18_27 Group Conversation 2.html",6141,1081676
+17175550148,2020-03-24T07:18:27.000Z,2020-03-24T07:18:38.842Z,"Garnett Tremblay",75550148,8,"out/Group Conversation 3/2020-03-24T07_18_38 Group Conversation 3.html",4409,540838
+18605550137,2020-03-24T07:18:27.000Z,2020-03-24T07:18:38.842Z,,,,"out/Group Conversation 3/2020-03-24T07_18_38 Group Conversation 3.html",4409,540838
john@example.com,2020-03-24T07:18:27.000Z,2020-03-24T07:18:38.842Z,,,,"out/Group Conversation 3/2020-03-24T07_18_38 Group Conversation 3.html",4409,540838
